F/MHz,S11 (dB),S11 (deg),S21 (dB),S21 (deg),S22 (dB),S22 (deg)
79.3,-34.3589859,-59.34675262,-0.423610858,-253.5674972,-33.23342639,-75.11419086
79.795,-34.41566261,-61.87610556,-0.424578137,-255.1374598,-33.24552808,-75.97146628
80.29,-34.31979094,-66.23929252,-0.42532819,-256.7145192,-33.11947056,-77.75867157
80.785,-34.31400498,-69.80803977,-0.426950317,-258.2888416,-33.13486317,-80.3700414
81.28,-34.25340511,-72.58585386,-0.4285386,-259.86599,-32.99949865,-81.36464408
81.775,-34.18591427,-75.87762223,-0.430230194,-261.4420984,-32.87851029,-82.49710381
82.27,-34.16661784,-78.91290114,-0.431863842,-263.0161818,-32.79803121,-83.72582074
82.765,-34.08988101,-82.29351344,-0.432634141,-264.5798038,-32.91504755,-85.15277262
83.26,-34.1763157,-85.10903844,-0.434553333,-266.1553329,-32.90257716,-85.91818108
83.755,-34.07500991,-88.44780705,-0.436428804,-267.7368669,-32.78172139,-87.42752102
84.25,-34.03626658,-92.14024977,-0.437506022,-269.3044563,-32.81637667,-89.62438291
84.745,-34.04586278,-95.63071818,-0.438503855,-270.880947,-32.88966881,-90.83016586
85.24,-33.99115722,-98.50138259,-0.439950806,-272.4519542,-32.78034212,-91.63675934
85.735,-33.99337411,-101.6230529,-0.441284726,-274.030738,-32.76169443,-92.86121651
86.23,-33.93801373,-104.4677143,-0.443501036,-275.6051476,-32.68858297,-93.5825213
86.725,-33.85341829,-108.0944432,-0.444140097,-277.1799567,-32.58138945,-95.50590685
87.22,-33.92273242,-110.8235659,-0.445960632,-278.7544231,-32.75905414,-96.08434616
87.715,-33.80347174,-114.5958028,-0.447536523,-280.3268656,-32.71404062,-97.75656136
88.21,-33.87665638,-117.7554058,-0.447795534,-281.9023036,-32.83179006,-98.65504306
88.705,-33.77906815,-120.9566084,-0.45023323,-283.4757202,-32.84246913,-99.98803415
89.2,-33.75189409,-124.5890969,-0.4520411,-285.039733,-32.86777564,-101.5644316
89.695,-33.76063388,-127.8726325,-0.45351111,-286.6233037,-32.93435621,-103.3981117
90.19,-33.68875471,-131.4584005,-0.45404822,-288.1954878,-33.00425566,-104.4663827
90.685,-33.67177697,-133.9604484,-0.456690053,-289.7745216,-32.90433805,-105.2765004
91.18,-33.70847922,-137.6243956,-0.457943751,-291.3407111,-33.12585488,-106.852678
91.675,-33.58251957,-140.9979894,-0.459013625,-292.9112566,-33.13251199,-107.6939968
92.17,-33.65894814,-144.0205544,-0.460420766,-294.4879433,-33.27858019,-109.1607751
92.665,-33.62149213,-147.1293678,-0.461263665,-296.057874,-33.37368838,-109.3219821
93.16,-33.55562914,-150.6685416,-0.463552144,-297.6414599,-33.34893645,-112.1417433
93.655,-33.52206724,-153.6472817,-0.464831746,-299.2028818,-33.33027586,-112.1499971
