F/MHz,S11 (dB),S11 (deg),S21 (dB),S21 (deg),S22 (dB),S22 (deg)
76.825,-28.88691325,178.1693209,-0.215540691,-124.5129766,-33.11336152,-167.9222251
77.32,-28.82608171,177.2483745,-0.214607175,-125.3121933,-33.14305487,-167.964404
77.815,-28.84510388,176.1418717,-0.218016012,-126.1089078,-33.34315517,-169.0196881
78.31,-28.84042453,175.1455163,-0.217317816,-126.9029287,-33.48600221,-169.4409033
78.805,-28.80312432,173.5741421,-0.217667627,-127.7066279,-33.37060768,-169.7900753
79.3,-28.84993332,173.0215884,-0.218968234,-128.5015442,-33.53023413,-170.7743301
79.795,-28.83040616,171.6308439,-0.219028134,-129.2958861,-33.82512548,-169.8073724
80.29,-28.81094531,170.9043834,-0.220631878,-130.0930652,-33.84733984,-170.366009
80.785,-28.77642817,169.7486802,-0.220582124,-130.8930312,-34.05836641,-171.8779949
81.28,-28.77802004,168.7004825,-0.222563396,-131.6927374,-34.02695805,-172.6736502
81.775,-28.80095816,167.3194895,-0.223488141,-132.4862426,-34.1580078,-172.4912255
82.27,-28.79142752,165.9978005,-0.223618681,-133.2885275,-34.18661864,-173.6952232
82.765,-28.84563307,164.9928033,-0.224399711,-134.0785626,-34.45674155,-174.2296603
83.26,-28.82566445,164.0373856,-0.225787968,-134.8741116,-34.57421825,-175.1488809
83.755,-28.80606257,162.5151343,-0.226910886,-135.6780608,-34.57241142,-175.4479157
84.25,-28.79736791,161.7240701,-0.226930648,-136.4708277,-34.91006263,-175.9595836
84.745,-28.78807993,160.4140239,-0.228174016,-137.2655608,-35.10927358,-176.3840645
85.24,-28.8761656,159.250821,-0.228959011,-138.0632431,-35.21509972,-176.6178172
85.735,-28.85307179,158.217183,-0.228981797,-138.8607844,-35.33555588,-177.5693281
86.23,-28.84851911,156.9834882,-0.230840615,-139.6588062,-35.32750935,-177.1651096
86.725,-28.85982783,155.9508416,-0.230751816,-140.4543892,-35.64109993,-177.5672749
87.22,-28.90708084,154.7013437,-0.231128951,-141.2524427,-35.69572544,-178.0327233
87.715,-28.87542372,153.6401946,-0.232320864,-142.0496393,-35.99193596,-179.0106065
88.21,-28.95332512,152.3257541,-0.232675015,-142.8458268,-36.18029297,-179.064258
88.705,-28.89848362,151.459535,-0.234226715,-143.6400802,-36.26842374,179.3695722
89.2,-28.89977205,150.3400024,-0.234160218,-144.4319661,-36.69017474,179.5896643
89.695,-28.93626804,148.9419645,-0.235742504,-145.2288612,-36.83014477,178.788987
90.19,-28.93999753,147.8050323,-0.235619056,-146.0284466,-37.03906318,178.9198128
90.685,-28.98482499,146.4410615,-0.236530783,-146.8258759,-37.08325212,179.062937
91.18,-28.98964712,145.4507721,-0.237880353,-147.6192165,-37.4801449,179.0191494
91.675,-29.0058215,144.0156684,-0.238692031,-148.410571,-37.67828567,177.9525179
92.17,-29.02653424,142.9276267,-0.23948935,-149.2101015,-37.88182638,178.3420423
92.665,-29.04847506,141.4757947,-0.23900332,-150.0085819,-38.24733295,178.6704627
93.16,-29.06258451,140.6218145,-0.240687482,-150.8133235,-38.43463903,177.1574863
93.655,-29.10581397,139.0427939,-0.240777279,-151.6024986,-38.45298682,178.4338638
94.15,-29.1174087,138.0666293,-0.241605096,-152.3986597,-38.89820345,179.1500832
94.645,-29.18590009,136.6565863,-0.242244091,-153.1985681,-39.20508385,177.3903895
95.14,-29.21949509,135.5118972,-0.242650435,-153.9919697,-39.37224495,177.6588913
95.635,-29.22808755,134.484959,-0.243667024,-154.7918672,-39.62142917,177.0829709
96.13,-29.24795732,133.0676209,-0.244631384,-155.5873475,-40.06332607,178.4868932
96.625,-29.31193616,131.7858307,-0.244705541,-156.3782179,-40.32294648,176.9129996
97.12,-29.33223581,130.4788596,-0.245819845,-157.1802128,-40.44125702,177.8885214
97.615,-29.39448143,129.2752592,-0.24632448,-157.9740174,-41.16143088,179.6033224
98.11,-29.3692374,127.8654617,-0.246298535,-158.7687662,-41.26405832,-179.5253047
98.605,-29.45940945,126.5407267,-0.247586339,-159.5692278,-41.6390081,-179.9779575
99.1,-29.49051971,125.4129473,-0.24773794,-160.3685555,-41.68809552,-178.9278022
99.595,-29.48075613,123.985511,-0.247982672,-161.1594185,-42.35569149,-176.9703329
100.09,-29.55639641,122.607879,-0.249546414,-161.9593589,-42.45428555,-176.3702356
100.585,-29.59173494,121.7124286,-0.250121192,-162.7530914,-43.75582889,-175.3136159
101.08,-29.64402611,119.9764485,-0.25119563,-163.5517676,-43.33758308,-173.4183123
101.575,-29.66978257,118.5859258,-0.251397946,-164.3470927,-44.09843115,-172.1453414
102.07,-29.76433394,117.3406379,-0.250916091,-165.147454,-44.31589643,-174.1022798
102.565,-29.7840488,116.1386038,-0.25220818,-165.9442127,-44.8772919,-168.7018604
103.06,-29.84256232,114.6059873,-0.252968402,-166.735319,-45.21780611,-167.5136022
103.555,-29.86779517,113.1208202,-0.253590594,-167.5278678,-45.74749645,-161.2511234
104.05,-29.93788618,111.9100353,-0.254273945,-168.3306119,-46.18283864,-161.6694317
104.545,-30.01049806,110.5826775,-0.254648121,-169.1272767,-46.8185902,-158.5091708
105.04,-30.02650795,109.1586953,-0.255365247,-169.9208999,-47.0419264,-152.858102
105.535,-30.07478196,107.7576493,-0.25620593,-170.7177829,-47.62130481,-144.5259657
106.03,-30.15406529,106.3456972,-0.256493161,-171.5160929,-47.85188305,-142.4060915
106.525,-30.22880748,104.9295222,-0.25644454,-172.3131414,-47.99951932,-140.8731809
107.02,-30.25978784,103.4244069,-0.257601033,-173.1060317,-48.10641317,-130.714483
107.515,-30.29930753,101.6443388,-0.257453248,-173.9061687,-47.45104258,-129.003235
108.01,-30.36130877,100.4888853,-0.258200805,-174.7024513,-48.22381657,-121.1990529
108.505,-30.42328597,98.83140916,-0.259537337,-175.4995003,-47.89151017,-121.0862404
109,-30.49903476,97.58217087,-0.259605966,-176.2959311,-48.23166188,-110.8142221
